s.no,restaurant_name,restaurant_type,rate,num_of_ratings,avg_cost,online_order,table_booking,cuisines_type,area,local_address,cuisine_count,price_category
0,#FeelTheROLL,68,3.4,-0.3072319145193232,-0.7354218394942816,0,0,1011,3,Bellandur,-1.1328300493790044,0
1,#L-81 Cafe,68,3.9,-0.23799028974606395,-0.3017506270014041,1,0,1019,6,HSR,-0.3261796684571938,2
2,#refuel,14,3.7,-0.2565673110266945,-0.3017506270014041,1,0,460,1,Bannerghatta Road,-0.3261796684571938,2
3,'@ Biryani Central,21,2.7,-0.09106293961744072,0.023502782368254035,1,0,360,23,Marathahalli,0.48047071246461687,1
4,'@ The Bbq,21,2.8,-0.2515008506774316,0.34875619173791217,1,0,197,3,Bellandur,2.0937714743082383,3
5,'@99,80,3.4,-0.2565673110266945,-0.7354218394942816,0,0,1426,29,Whitefield,1.2871210933864277,0
6,'@Italy,21,4.1,0.19603648017412195,0.34875619173791217,1,0,1208,0,Kumaraswamy Layout,-1.1328300493790044,3
7,'@North Parontha Hut,80,2.8,-0.2515008506774316,-0.5185862332478428,0,0,1455,11,Old Airport Road,-1.1328300493790044,0
8,1000 B.C,68,3.2,-0.23630146962964302,-0.5185862332478428,1,0,142,6,Koramangala 5th Block,1.2871210933864277,0
9,100ﾃδεつεδづつεδεつづδづつづδεつεδづつづδεつづδづつｰC,21,3.7,-0.24981203056101067,-0.1933328238781847,0,0,364,6,BTM,-0.3261796684571938,1
10,11 to 11 Express Biriyanis,68,3.5,-0.28189961277300885,-0.5185862332478428,1,0,350,8,Electronic City,-0.3261796684571938,0
11,1131 Bar + Kitchen,6,4.4,4.512660697746088,2.0834410417094222,0,1,815,25,Indiranagar,1.2871210933864277,3
12,12th Main - Grand Mercure,42,4.1,0.2770998457623279,3.167619072941616,0,1,995,6,Koramangala 3rd Block,-0.3261796684571938,3
13,1441 Pizzeria,21,4.1,-0.11808406148017603,0.5655917979843509,1,0,1887,2,JP Nagar,-0.3261796684571938,3
14,1522 - The Pub,64,4.2,2.604293966190406,1.8666054354629835,1,0,672,22,Malleshwaram,0.48047071246461687,3
15,154 Breakfast Club,14,4.0,2.229375900344954,0.7824274042307897,1,1,490,6,Koramangala 3rd Block,-0.3261796684571938,3
16,1722 Urban Bistro,21,4.1,0.0491091300454987,0.13192058549147342,1,1,1569,6,Koramangala 5th Block,1.2871210933864277,1
17,18+ Ice Cafe,14,3.5,-0.2785219725401669,0.023502782368254035,0,0,553,14,Kammanahalli,1.2871210933864277,1
18,1947,21,3.9,0.7280148168467234,0.9992630104772284,0,1,1551,26,Rajajinagar,0.48047071246461687,3
19,1980s Games Cafe,14,3.4,-0.2211020885818544,-0.3017506270014041,1,0,549,0,Basavanagudi,-0.3261796684571938,2
20,1992 Chats - Space,68,3.7,-0.2633225914923783,-0.7354218394942816,1,0,2099,22,Rajajinagar,-1.1328300493790044,0
21,1Q1,22,4.3,0.6857943139361995,4.25179710417381,0,1,172,4,Infantry Road,3.70707223615186,3
22,1TO3 Kitchen,33,3.1,-0.3004766340536394,0.5655917979843509,0,0,1556,23,Marathahalli,2.0937714743082383,3
23,2 Statez,21,3.7,0.03390974899771009,0.13192058549147342,1,0,1320,14,Kalyan Nagar,2.0937714743082383,1
24,20 Char - Sterlings MAC Hotel,22,4.0,0.38856197344611104,1.8666054354629835,1,1,681,11,Old Airport Road,2.0937714743082383,3
25,20 Feet High,22,4.0,1.254926693170062,0.9992630104772284,1,1,21,4,Church Street,1.2871210933864277,3
26,21 C - La Marvella Sarovar Premiere Hotel,21,3.6,-0.29372135358795554,0.9992630104772284,0,0,798,2,Jayanagar,-1.1328300493790044,3
27,24 Carats - The Capitol,21,3.1,-0.24136792997890588,0.9992630104772284,0,0,158,4,Cunningham Road,-0.3261796684571938,3
28,24 Hours Cake Delivery,33,3.3,-0.3122983748685861,0.34875619173791217,0,0,204,11,Old Airport Road,-1.1328300493790044,3
29,24 Hours Coffee Drop - La Classic,14,3.4,-0.30385427428648126,0.5655917979843509,0,0,431,8,Electronic City,-1.1328300493790044,3
30,24/7 - The Lalit Ashok Bangalore,42,4.0,0.26190046471453926,5.335975135406004,0,1,925,22,Seshadripuram,1.2871210933864277,3
31,24/7 Food Service,80,2.9,-0.3072319145193232,-0.5185862332478428,1,0,2071,6,JP Nagar,0.48047071246461687,0
32,24@43 - The Oterra,42,4.1,0.13355013586654654,5.335975135406004,0,1,1473,8,Electronic City,0.48047071246461687,3
